accession_number	toxo_nonsecreted_gene_name	lopit_prediction
TGGT1_218820		nucleus - non-chromatin
TGGT1_218840	MSH1	mitochondrion - soluble
TGGT1_218920		20S proteasome
TGGT1_218940	ICAP8	mitochondrion - membranes
TGGT1_218960	AP2XII1	nucleus - chromatin
TGGT1_219080		nucleus - chromatin
TGGT1_219140		cytosol
TGGT1_219150		nucleus - non-chromatin
TGGT1_219170	ISC2	IMC
TGGT1_219190		cytosol
TGGT1_219270		IMC
TGGT1_219280	ALP1	cytosol
TGGT1_219290		cytosol
TGGT1_219310		cytosol
TGGT1_219520	PRMT1	cytosol
TGGT1_219682		mitochondrion - soluble
TGGT1_219700		cytosol
TGGT1_219770		mitochondrion - soluble
TGGT1_219790		nucleus - non-chromatin
TGGT1_220100		mitochondrion - soluble
TGGT1_220270	IMC6	IMC
TGGT1_220400	ADF	cytosol
TGGT1_220450		nucleus - chromatin
TGGT1_220500		cytosol
TGGT1_220930	ISC3	IMC
TGGT1_221380		nucleus - non-chromatin
TGGT1_221490		cytosol
TGGT1_221620		tubulin cytoskeleton
TGGT1_221660		nucleus - non-chromatin
TGGT1_221940		nucleus - chromatin
TGGT1_221950		nucleus - non-chromatin
TGGT1_222000		nucleus - non-chromatin
TGGT1_222020	PGKII	apicoplast
TGGT1_222160		cytosol
TGGT1_222210		mitochondrion - membranes
TGGT1_222220	IMC7	IMC
TGGT1_222370	SRS13	PM - peripheral 1
TGGT1_222380		cytosol
TGGT1_222430		cytosol
TGGT1_222850		cytosol
TGGT1_222860		nucleus - non-chromatin
TGGT1_222910		mitochondrion - membranes
TGGT1_222920		nucleus - chromatin
TGGT1_222952		cytosol
TGGT1_222970		cytosol
TGGT1_222990		mitochondrion - soluble
TGGT1_223020		cytosol
TGGT1_223110	GLTP	nucleus - chromatin
TGGT1_223150		ER
TGGT1_223390		nucleus - non-chromatin
TGGT1_223540		cytosol
TGGT1_223660		mitochondrion - soluble
TGGT1_223680		cytosol
TGGT1_223710		cytosol
TGGT1_223910		ER
TGGT1_223930		nucleus - non-chromatin
TGGT1_223940	GAP45	IMC
TGGT1_223960		cytosol
TGGT1_224050	AP2X4	nucleus - chromatin
TGGT1_224110		19S proteasome
