accession_number	toxo_nonsecreted_gene_name	lopit_prediction
TGGT1_270380	RPS13	40S ribosome
TGGT1_270530	UFD1CY	nucleus - chromatin
TGGT1_270540		cytosol
TGGT1_270550		cytosol
TGGT1_270620		nucleus - non-chromatin
TGGT1_270640		nucleus - non-chromatin
TGGT1_270710		nucleus - non-chromatin
TGGT1_270740		nucleus - non-chromatin
TGGT1_270830		nucleus - non-chromatin
TGGT1_270840		nucleus - chromatin
TGGT1_270865		nucleus - chromatin
TGGT1_270880		nucleus - non-chromatin
TGGT1_270910		apicoplast
TGGT1_271280		nucleolus
TGGT1_271380		PM - peripheral 2
TGGT1_271460		nucleus - chromatin
TGGT1_271810		cytosol
TGGT1_271820		mitochondrion - soluble
TGGT1_271888		ER
TGGT1_271930	IMC20	IMC
TGGT1_271970		IMC
TGGT1_272010		nucleus - non-chromatin
TGGT1_272030		nucleus - chromatin
TGGT1_272230		mitochondrion - soluble
TGGT1_272400		cytosol
TGGT1_272490		mitochondrion - membranes
TGGT1_272630		nucleus - non-chromatin
TGGT1_272650		PM - integral
TGGT1_272740	POLR3B	nucleus - chromatin
TGGT1_272910		cytosol
TGGT1_273030		nucleus - chromatin
TGGT1_273090	CDC48CY	cytosol
TGGT1_273120	SRS30C	PM - peripheral 1
TGGT1_273130	SRS30A	PM - peripheral 1
TGGT1_273150		nucleus - chromatin
TGGT1_273370		cytosol
TGGT1_273445		apicoplast
TGGT1_273500		nucleus - chromatin
TGGT1_273520		nucleus - non-chromatin
TGGT1_273540		ER
TGGT1_273630		mitochondrion - membranes
TGGT1_273660	AP2VIII3	nucleus - chromatin
TGGT1_273730		apicoplast
TGGT1_273760	HSP70	cytosol
TGGT1_273840		nucleus - non-chromatin
TGGT1_273870		nucleus - chromatin
TGGT1_273950		nucleus - chromatin
TGGT1_273960		apicoplast
TGGT1_274060	OMT	mitochondrion - membranes
TGGT1_274070		cytosol
TGGT1_275350		nucleus - chromatin
TGGT1_275370	SRS47C	PM - peripheral 1
TGGT1_275480		nucleus - non-chromatin
TGGT1_275568		ER
TGGT1_275750		nucleus - non-chromatin
TGGT1_275980		mitochondrion - membranes
TGGT1_276110		ER
TGGT1_276170		cytosol
TGGT1_277000		nucleus - chromatin
TGGT1_277090		mitochondrion - membranes
TGGT1_277500		19S proteasome
TGGT1_277510		cytosol
TGGT1_277850		nucleus - non-chromatin
TGGT1_277895		nucleus - chromatin
TGGT1_277970		ER
TGGT1_277990		nucleus - chromatin
TGGT1_278050		20S proteasome
TGGT1_278490		nucleus - non-chromatin
TGGT1_278630		ER
TGGT1_278660		PM - integral
TGGT1_278670		ER
TGGT1_278740		mitochondrion - membranes
TGGT1_278750		nucleus - chromatin
TGGT1_278850	DHHC2	IMC
TGGT1_278950		nucleus - non-chromatin
TGGT1_278990		mitochondrion - membranes
TGGT1_279330		nucleolus
TGGT1_279370		ER
TGGT1_279390		nucleus - non-chromatin
TGGT1_279400		cytosol
TGGT1_279450		cytosol
TGGT1_280400	DPY19	ER
TGGT1_280410		PM - integral
TGGT1_280440		ER
TGGT1_280600		cytosol
TGGT1_280710		20S proteasome
TGGT1_280740		ER
TGGT1_280750		nucleus - non-chromatin
TGGT1_280760		nucleus - chromatin
TGGT1_280800		nucleus - chromatin
TGGT1_281400		nucleus - chromatin
TGGT1_281430		cytosol
TGGT1_281490		cytosol
TGGT1_281520		PM - integral
TGGT1_281580		PM - peripheral 2
TGGT1_281980		ER
TGGT1_282140		nucleus - non-chromatin
TGGT1_282180	ICAP15	mitochondrion - membranes
TGGT1_282220	AP2VIIA9	nucleus - chromatin
TGGT1_283740		nucleus - non-chromatin
TGGT1_283850		cytosol
TGGT1_283878		nucleus - non-chromatin
TGGT1_284050		nucleus - non-chromatin
TGGT1_284190		mitochondrion - soluble
TGGT1_284540		mitochondrion - membranes
TGGT1_284560	RPL9	60S ribosome
TGGT1_285170		mitochondrion - soluble
TGGT1_285200		nucleus - non-chromatin
TGGT1_285220		nucleus - chromatin
TGGT1_285268		cytosol
TGGT1_285660		nucleus - chromatin
TGGT1_285680		mitochondrion - soluble
TGGT1_285760		nucleus - non-chromatin
TGGT1_285980	GPM1	cytosol
TGGT1_286080		nucleus - non-chromatin
TGGT1_286210		cytosol
TGGT1_286220		cytosol
TGGT1_286440		nucleus - non-chromatin
TGGT1_286560		nucleus - non-chromatin
TGGT1_286580	IMC17	IMC
TGGT1_286590	SPM2	tubulin cytoskeleton
TGGT1_286690		nucleus - non-chromatin
TGGT1_286710		nucleus - non-chromatin
TGGT1_286730		cytosol
TGGT1_286750		cytosol
TGGT1_286790	NF2	nucleus - non-chromatin
TGGT1_286920		nucleus - chromatin
TGGT1_287210		20S proteasome
TGGT1_287500		cytosol
TGGT1_288210		cytosol
TGGT1_288340		ER
TGGT1_288380	HSP90	cytosol
TGGT1_288400		mitochondrion - membranes
TGGT1_288510		mitochondrion - soluble
TGGT1_288530		nucleus - non-chromatin
TGGT1_288580		nucleus - chromatin
TGGT1_288620		mitochondrion - soluble
TGGT1_288630		cytosol
TGGT1_288685		mitochondrion - soluble
TGGT1_288720	RPL10	60S ribosome
TGGT1_288740		cytosol
TGGT1_288750		mitochondrion - membranes
TGGT1_288800		cytosol
TGGT1_288910		cytosol
TGGT1_289070		PM - integral
TGGT1_289100	MIC18	cytosol
TGGT1_289140		mitochondrion - soluble
TGGT1_289180		mitochondrion - soluble
TGGT1_289210		cytosol
TGGT1_289230		apicoplast
TGGT1_289300		cytosol
TGGT1_289320		PM - peripheral 2
TGGT1_289350	ABCG84	PM - integral
TGGT1_289530	RPL19	60S ribosome
TGGT1_289550		nucleus - non-chromatin
TGGT1_289560		nucleus - non-chromatin
TGGT1_289570		ER
TGGT1_289600	HSP29	cytosol
TGGT1_289650		cytosol
TGGT1_289680		PM - integral
TGGT1_289690	GAPDH1	cytosol
TGGT1_289770		nucleus - chromatin
TGGT1_289780		mitochondrion - soluble
TGGT1_289820		nucleus - chromatin
TGGT1_289830		nucleus - non-chromatin
TGGT1_289940	UroD	apicoplast
TGGT1_289980		nucleus - chromatin
TGGT1_290180	AP2IX6	mitochondrion - soluble
TGGT1_290260		cytosol
TGGT1_290270		nucleus - non-chromatin
TGGT1_290290		cytosol
TGGT1_290340		cytosol
TGGT1_290580	ABCG89	PM - integral
TGGT1_290600	SCSA	mitochondrion - soluble
TGGT1_290630	AP2IX7	nucleus - chromatin
TGGT1_290660		nucleus - non-chromatin
TGGT1_290850		nucleus - non-chromatin
TGGT1_290890		cytosol
TGGT1_290950		cytosol
TGGT1_290970		ER
TGGT1_290980		ER
TGGT1_291000		nucleus - chromatin
TGGT1_291330		nucleus - non-chromatin
TGGT1_291640		cytosol
TGGT1_291680		nucleus - non-chromatin
TGGT1_291930		cytosol
TGGT1_291980		nucleus - chromatin
TGGT1_292080		cytosol
TGGT1_292120	MORN2	PM - peripheral 2
TGGT1_292130	RPL13A	60S ribosome
TGGT1_292200		nucleus - non-chromatin
TGGT1_292920		mitochondrion - soluble
TGGT1_293060		nucleus - non-chromatin
TGGT1_293310		mitochondrion - soluble
TGGT1_293340		cytosol
TGGT1_293350		mitochondrion - membranes
TGGT1_293570		ER
TGGT1_293580		cytosol
TGGT1_293690	PRF	cytosol
TGGT1_293810		cytosol
TGGT1_293870		cytosol
TGGT1_294190		mitochondrion - soluble
TGGT1_294250		ER
TGGT1_294270	PRMT4	cytosol
TGGT1_294350		nucleus - non-chromatin
TGGT1_294360		nucleus - non-chromatin
TGGT1_294420		cytosol
TGGT1_294550		nucleus - chromatin
TGGT1_294620		nucleus - non-chromatin
TGGT1_294670		nucleus - non-chromatin
TGGT1_294690	ROM5	PM - integral
TGGT1_294700		nucleus - non-chromatin
TGGT1_294898		cytosol
TGGT1_295040		cytosol
TGGT1_295070		nucleus - non-chromatin
TGGT1_295340		cytosol
TGGT1_295350		cytosol
TGGT1_295360	IMC18	IMC
TGGT1_295680		nucleolus
TGGT1_295690		mitochondrion - membranes
TGGT1_295710		cytosol
TGGT1_296010		nucleus - chromatin
TGGT1_297060	PGMII	cytosol
TGGT1_297080		cytosol
TGGT1_297140		nucleus - non-chromatin
TGGT1_297150		IMC
TGGT1_297170		mitochondrion - soluble
TGGT1_297245		PM - integral
TGGT1_297470	MLC2	PM - peripheral 1
TGGT1_297500		cytosol
TGGT1_297530	POLR1B	nucleus - non-chromatin
TGGT1_297720		cytosol
TGGT1_297780		apicoplast
TGGT1_297800		nucleus - chromatin
TGGT1_297890	RRLP2	mitochondrion - soluble
TGGT1_297940		apicoplast
TGGT1_298030		mitochondrion - membranes
TGGT1_298610		nucleus - chromatin
TGGT1_298970		nucleus - non-chromatin
TGGT1_299050	RPL17	60S ribosome
TGGT1_299070	PYKII	mitochondrion - soluble
TGGT1_299200		nucleus - chromatin
TGGT1_299210		cytosol
TGGT1_299970		IMC
TGGT1_300000	RPL18	60S ribosome
TGGT1_300140		cytosol
TGGT1_300190	RPL37A	60S ribosome
TGGT1_300200	H2AZ	nucleus - chromatin
TGGT1_300260		cytosol
TGGT1_300280		nucleus - non-chromatin
TGGT1_300310		19S proteasome
TGGT1_300380		ER
TGGT1_301120		mitochondrion - soluble
TGGT1_301380		apicoplast
TGGT1_301390		nucleus - non-chromatin
TGGT1_301440	CDPK1	nucleus - chromatin
TGGT1_302000		apicoplast
TGGT1_302050		apicoplast
TGGT1_304650		nucleus - chromatin
TGGT1_304670	IMC23	IMC
TGGT1_304760		nucleus - non-chromatin
TGGT1_304770		cytosol
TGGT1_304970		nucleus - non-chromatin
TGGT1_305010		nucleus - non-chromatin
TGGT1_305030		cytosol
TGGT1_305040		cytosol
TGGT1_305050		IMC
TGGT1_305120		ER
TGGT1_305190		PM - integral
TGGT1_305240		nucleus - non-chromatin
TGGT1_305320		nucleus - chromatin
TGGT1_305340	MORC	nucleus - chromatin
TGGT1_305450		ER
TGGT1_305460		cytosol
TGGT1_305480	ELP3	mitochondrion - membranes
TGGT1_305520	RPS2	40S ribosome
TGGT1_305560		nucleus - chromatin
TGGT1_305770		cytosol
TGGT1_305780		nucleus - non-chromatin
TGGT1_305800		cytosol
TGGT1_305820		cytosol
TGGT1_305850		nucleus - non-chromatin
TGGT1_305860	CDPK3	PM - peripheral 2
TGGT1_305870		ER
TGGT1_305930	ISC4	IMC
TGGT1_305940		nucleus - non-chromatin
TGGT1_305980	PDHE3I	apicoplast
TGGT1_306030		ER
TGGT1_306040		nucleus - non-chromatin
TGGT1_306210	CDC73	nucleus - non-chromatin
TGGT1_306290	POLR3A	nucleus - non-chromatin
TGGT1_306380		nucleus - non-chromatin
TGGT1_306460		nucleus - chromatin
TGGT1_306540		cytosol
TGGT1_306600		nucleus - non-chromatin
TGGT1_306610		nucleus - non-chromatin
TGGT1_306930		20S proteasome
TGGT1_306960		cytosol
TGGT1_306970		cytosol
TGGT1_307610		apicoplast
TGGT1_307850		cytosol
TGGT1_308580		mitochondrion - soluble
TGGT1_308840	SRS51/SRS3	PM - peripheral 1
TGGT1_308920		nucleus - non-chromatin
TGGT1_309010		mitochondrion - soluble
TGGT1_309140	TBL1	nucleus - chromatin
TGGT1_309200		nucleus - non-chromatin
TGGT1_309210		cytosol
TGGT1_309265		ER
TGGT1_309370		nucleus - chromatin
TGGT1_309570		nucleus - non-chromatin
TGGT1_309580		apicoplast
TGGT1_309740		nucleus - non-chromatin
TGGT1_309800		nucleus - non-chromatin
TGGT1_309820	RPL11	40S ribosome
TGGT1_309950		nucleus - non-chromatin
TGGT1_310040		cytosol
TGGT1_310050		nucleus - non-chromatin
TGGT1_310060		cytosol
TGGT1_310100		ER
TGGT1_310130		nucleus - chromatin
TGGT1_310290		mitochondrion - soluble
TGGT1_310380		nucleolus
TGGT1_310430		apicoplast
TGGT1_310460		PM - peripheral 2
TGGT1_310490	RPL27A	60S ribosome
TGGT1_310640		cytosol
TGGT1_310670		cytosol
TGGT1_310820		nucleus - non-chromatin
TGGT1_310900	AP2XI2	nucleus - chromatin
TGGT1_310950	AP2XI3	nucleus - chromatin
TGGT1_311090		cytosol
TGGT1_311110		cytosol
TGGT1_311160		cytosol
TGGT1_311310		cytosol
TGGT1_311360	PKG	PM - peripheral 2
TGGT1_311400		nucleus - non-chromatin
TGGT1_311410		nucleolus
TGGT1_311430		nucleolus
TGGT1_311480	AC1	IMC
TGGT1_311680		mitochondrion - membranes
TGGT1_311690		nucleus - chromatin
TGGT1_311870		cytosol
TGGT1_312050		PM - integral
TGGT1_312090	RPL23	60S ribosome
TGGT1_312100	PMCAA1	IMC
TGGT1_312200		cytosol
TGGT1_312220		mitochondrion - membranes
TGGT1_312280		nucleus - non-chromatin
TGGT1_312380		nucleus - chromatin
TGGT1_312480		cytosol
TGGT1_312530		nucleus - non-chromatin
TGGT1_312622		IMC
TGGT1_312630		cytosol
TGGT1_312990		nucleolus
TGGT1_313010	DDX6	nucleus - non-chromatin
TGGT1_313100		nucleus - chromatin
TGGT1_313190		ER
TGGT1_313230		cytosol
TGGT1_313240		mitochondrion - soluble
TGGT1_313290		PM - peripheral 2
TGGT1_313310		cytosol
TGGT1_313400		nucleus - chromatin
TGGT1_313410		19S proteasome
TGGT1_313560		cytosol
TGGT1_313580		nucleus - chromatin
TGGT1_313830		nucleolus
TGGT1_313860		cytosol
TGGT1_313980		nucleolus
TGGT1_313990		nucleus - non-chromatin
TGGT1_314000		nucleus - chromatin
TGGT1_314090		20S proteasome
TGGT1_314100		cytosol
TGGT1_314295		mitochondrion - soluble
TGGT1_314410		nucleus - non-chromatin
TGGT1_314422		mitochondrion - soluble
TGGT1_314740		nucleus - non-chromatin
TGGT1_314780	MYOG	PM - peripheral 2
TGGT1_314790		nucleus - non-chromatin
TGGT1_314810	RPL7	60S ribosome
TGGT1_314820		mitochondrion - membranes
TGGT1_314830		nucleus - non-chromatin
TGGT1_314900		nucleus - non-chromatin
TGGT1_314970		ER
TGGT1_315140		nucleolus
TGGT1_315250		cytosol
TGGT1_315670		cytosol
TGGT1_315690	DnaJ1	nucleus - chromatin
TGGT1_315720		nucleus - chromatin
TGGT1_315740	SRS54	PM - peripheral 1
TGGT1_315760	AP2XI4	nucleus - chromatin
TGGT1_315770		mitochondrion - membranes
TGGT1_315860		nucleus - chromatin
TGGT1_315930		mitochondrion - membranes
TGGT1_315980		IMC
TGGT1_316200		ER
TGGT1_316230		ER
TGGT1_316300		nucleus - chromatin
TGGT1_316310	SOD	cytosol
TGGT1_316340	IMC22	IMC
TGGT1_316400	TUBA1	tubulin cytoskeleton
TGGT1_316520		cytosol
TGGT1_316540	ISP3	IMC
TGGT1_316660		nucleus - non-chromatin
TGGT1_316680		nucleus - chromatin
TGGT1_316730		PM - integral
TGGT1_316900		nucleus - non-chromatin
TGGT1_317720		nucleus - non-chromatin
TGGT1_318140		nucleus - non-chromatin
TGGT1_318150		PM - integral
TGGT1_318160		ER
TGGT1_318230	PGKI	cytosol
TGGT1_318260	TAF5	nucleus - chromatin
TGGT1_318310		cytosol
TGGT1_318320		apicoplast
TGGT1_318410	TCP-1	cytosol
TGGT1_318430	MDH	cytosol
TGGT1_318440		nucleus - non-chromatin
TGGT1_318460		ER
TGGT1_318510		nucleus - chromatin
TGGT1_318580	GPM2	cytosol
TGGT1_318590		cytosol
TGGT1_318620		nucleus - non-chromatin
TGGT1_318690		nucleus - non-chromatin
TGGT1_318710		nucleus - chromatin
TGGT1_318720		nucleus - chromatin
TGGT1_318730		ER
TGGT1_318750		cytosol
TGGT1_319530	SF2	nucleus - non-chromatin
TGGT1_319550		ER
TGGT1_319570		cytosol
TGGT1_319850		nucleus - non-chromatin
TGGT1_319870		cytosol
TGGT1_319950		nucleolus
TGGT1_320000		nucleus - chromatin
TGGT1_320020		PM - integral
TGGT1_320050	RPL5	cytosol
TGGT1_320100		nucleus - non-chromatin
TGGT1_320110	PCNA2	cytosol
TGGT1_320140		mitochondrion - membranes
TGGT1_320210		nucleus - non-chromatin
TGGT1_320220		mitochondrion - membranes
TGGT1_320300		nucleus - chromatin
TGGT1_320450		nucleus - non-chromatin
TGGT1_320480		PM - integral
TGGT1_320588		apicoplast
TGGT1_320640		cytosol
TGGT1_320670		nucleus - chromatin
TGGT1_320700	AP2IV1	mitochondrion - soluble
TGGT1_321400		ER
TGGT1_321420		cytosol
TGGT1_321440	SANT	nucleus - chromatin
TGGT1_321500		nucleus - non-chromatin
TGGT1_321620	DRPB	nucleus - chromatin
TGGT1_321630		nucleus - chromatin
TGGT1_321660		ER
TGGT1_324600		IMC
